No.	ID	内容	时间	时间进度条	弹幕热度
6820	一发老公	叫的人越多..BOSS越难..台主不知道吧	1:34:10	5650.966	0.499 
6821	Kit Kwok	看來是有預備的	1:34:12	5652.2	0.529 
6822	龙骑士の喵	冲啊	1:34:14	5654.358	0.526 
6823	划水的西瓜君	狼哥没摇	1:34:15	5655.137	0.522 
6824	liamo pu	台主很机车额	1:34:15	5655.355	0.601 
6825	纳兰墨	哈哈哈哈	1:34:16	5656.156	0.575 
6826	磐石	是的呢	1:34:16	5656.975	0.622 
6827	龙骑士の喵	？？	1:34:18	5658.528	0.592 
6828	赵迪奥	第一次	1:34:18	5658.638	0.603 
6829	纳兰墨	呜呜呜呜	1:34:18	5658.995	0.979 
6830	Kobe Bryant	第一次？	1:34:21	5661.355	0.963 
6831	du kevin	？	1:34:22	5662.14	1.006 
6832	Peter Pan	别怂	1:34:22	5662.221	1.272 
6833	纳兰墨	是是是	1:34:22	5662.591	1.342 
6834	the dk	哈哈哈哈哈哈哈	1:34:24	5664.352	1.111 
6835	Richard Yeung	？？？	1:34:24	5664.407	1.212 
6836	Majordome	碎星小胖	1:34:24	5664.923	1.258 
6837	Peter Pan	上去就是干	1:34:25	5665.292	1.478 
6838	一个白日梦懒狗	好夹	1:34:27	5667.249	1.161 
6839	旅行-带着王总去旅行00	s是是是	1:34:29	5669.764	0.929 
6840	magictom C	第1111次	1:34:32	5672.894	0.867 
6841	Paul Wu	大声的告诉我，体大弱什么	1:34:35	5675.72	0.736 
6842	dan song	gg	1:34:38	5678.289	0.622 
6843	Mong-Yun Chen	裝的，台主私下已經可以無傷 過了	1:34:38	5678.668	0.622 
6844	奏者	贴	1:34:39	5679.29	0.669 
6845	Kobe Bryant	好接	1:34:39	5679.355	0.669 
6846	星云	消耗兄弟就完事了 ， 你就在旁边see	1:34:41	5681.201	0.614 
6847	龙骑士の喵	第一次？这是哪个平行世界？	1:34:42	5682.875	0.569 
6848	WildFather	直接剁肉饼了	1:34:44	5684.809	0.569 
6849	领养小乌龟的阿普	是第一次哦我们都是人证	1:34:47	5687.809	0.554 
6850	AMX002S	奇迹啊，女巫往前顶了	1:34:47	5687.828	0.670 
6851	一个白日梦懒狗	好接！	1:34:47	5687.844	0.825 
6852	泡泡是个工具人	哈哈哈哈	1:34:51	5691.559	0.754 
6853	愛電玩	妳壞壞	1:34:52	5692.872	0.704 
6854	磐石	t拉住啊	1:34:53	5693.121	0.723 
6855	孤独星巴克	我日，这居合伤害，加几的长牙这是	1:34:55	5695.466	0.621 
6856	van tan	哈哈哈哈哈	1:34:55	5695.989	0.676 
6857	alen king	这个马压力才大	1:34:58	5698.525	0.639 
6858	MshaRp	你这伤害	1:34:59	5699.957	0.660 
6859	Gavin Ning	这伤害	1:35:3	5703.862	0.623 
6860	masaya yaguchi	是碎星太脆 还是等级太高了……	1:35:3	5703.984	0.619 
6861	AMX002S	老翁不行啊	1:35:4	5704.977	0.584 
6862	Neko Coneco	is the big guy riding a tiny horse?	1:35:4	5704.978	0.745 
6863	领养小乌龟的阿普	找他屁股打	1:35:5	5705.698	0.780 
6864	Paul Wu	一刀590	1:35:6	5706.087	0.771 
6865	Peter Pan	打NPC时赶紧上	1:35:7	5707.333	0.843 
6866	luo luo	鸡。t	1:35:9	5709.034	0.767 
6867	Gavin Ning	够高的啊	1:35:10	5710.463	0.838 
6868	孤独星巴克	私下没少做功课啊	1:35:10	5710.903	0.914 
6869	龙骑士の喵	死了 就继续摇人	1:35:12	5712.294	1.186 
6870	Toalle Chen	wyb别看了	1:35:12	5712.812	1.133 
6871	csnlm	台主不愧是高雄人，好台湾腔哦	1:35:14	5714.545	1.045 
6872	shawn wu	天线宝宝	1:35:15	5715.439	0.956 
6873	白鸟	狼人没招啊	1:35:15	5715.711	0.999 
6874	王诩	死光了	1:35:15	5715.875	1.022 
6875	划水的西瓜君	咱也不知道，咱也不敢问	1:35:15	5715.957	1.160 
6876	Gavin Ning	现在多少级	1:35:16	5716.203	1.395 
6877	Toalle Chen	wyb别看了	1:35:19	5719.951	1.054 
6878	serxixr	台主 冲啊	1:35:21	5721.419	0.951 
6879	Paul Wu	练级了吧	1:35:23	5723.09	0.926 
6880	AMX002S	居合斩空劈还行	1:35:24	5724.543	0.852 
6881	123 mango	边缘ob	1:35:24	5724.87	0.969 
6882	Peter Pan	NPC死光你就完了，哈哈	1:35:26	5726.094	0.939 
6883	dh y	碎星是吧？让你三招	1:35:28	5728.784	0.765 
6884	Toalle Chen	wyb别看了	1:35:29	5729.363	0.741 
6885	Toalle Chen	wyb别看了	1:35:29	5729.978	0.713 
6886	Toalle Chen	wyb别看了	1:35:30	5730.588	0.695 
6887	Toalle Chen	wyb别看了	1:35:31	5731.17	0.891 
6888	Toalle Chen	wyb别看了	1:35:32	5732.653	0.890 
6889	赵迪奥	666666666666	1:35:32	5732.765	1.034 
6890	星云	第一次见不带副手 但又不双持的人	1:35:32	5732.851	1.204 
6891	卿隐	队友挂掉 BOSS没死 基本就打不过	1:35:32	5732.852	1.253 
6892	Toalle Chen	wyb别看了	1:35:33	5733.377	1.373 
6893	Mong-Yun Chen	哇靠這傷害	1:35:34	5734.299	1.813 
6894	eyears	wanan	1:35:36	5736.588	1.384 
6895	领养小乌龟的阿普	奈斯啊	1:35:39	5739.298	1.073 
6896	AMX002S	快躲	1:35:39	5739.298	1.148 
6897	Gavin Ning	至少练了100级	1:35:40	5740.352	1.089 
6898	旅行-带着王总去旅行00	别刷屏	1:35:41	5741.045	1.192 
6899	磐石	狼哥加油，先走一步	1:35:42	5742.852	0.991 
6900	csnlm	刷屏的封一下	1:35:44	5744.024	0.895 
6901	龙骑士の喵	好接	1:35:44	5744.527	0.857 
6902	Chad S	好棒，卡了一周了	1:35:45	5745.364	0.834 
6903	AMX002S	忘了有延迟	1:35:48	5748.792	0.690 
6904	bill lu	不会要过了吧	1:35:51	5751.016	0.693 
6905	Paul Wu	还想蓄力	1:35:52	5752.089	0.782 
6906	划水的西瓜君	接的很准	1:35:54	5754.511	0.657 
6907	蟑螂	那可怜的小马	1:35:57	5757.661	0.578 
6908	tengwei fu	叫情敌啊	1:35:57	5757.988	0.590 
6909	Shentao Zhou	我刚看到碎星下面有只马？？	1:35:58	5758.154	0.654 
6910	tengwei fu	情敌呢	1:36:1	5761.269	0.580 
6911	Paul Wu	处决啊	1:36:1	5761.71	0.582 
6912	赵迪奥	润！	1:36:2	5762.257	0.592 
6913	Kent Lu	喝藥跟喝水一樣 主播可以喔	1:36:2	5762.311	0.740 
6914	一发老公	你这刀哪来的?	1:36:5	5765.147	0.708 
6915	星云	骑马 run	1:36:5	5765.302	0.757 
6916	龙骑士の喵	狼叔 倒了！	1:36:5	5765.677	0.896 
6917	dh y	王一博在陪肖战呢，没看台主	1:36:6	5766.509	1.130 
6918	Bo Xie	可以的	1:36:7	5767.749	1.024 
6919	du kevin	处决不了	1:36:7	5767.915	1.024 
6920	Paul Wu	我估计你要死了	1:36:9	5769.91	1.157 
6921	夜兔不睡觉	如来神掌	1:36:10	5770.711	1.111 
6922	划水的西瓜君	p2咯	1:36:10	5770.793	1.172 
6923	Tofu Guy	快跑啊 要被砸了	1:36:11	5771.456	1.093 
6924	龙骑士の喵	继续召唤	1:36:12	5772.146	1.429 
6925	k M	骑马快跑	1:36:12	5772.391	1.411 
6926	Peter Pan	看太阳啊	1:36:12	5772.663	1.431 
6927	陶伟	砸下来了	1:36:12	5772.909	1.563 
6928	tengwei fu	快跑	1:36:13	5773.128	1.859 
6929	Mong-Yun Chen	有啊，下面有匹馬	1:36:13	5773.57	1.768 
6930	du kevin	他在马上	1:36:13	5773.844	2.542 
6931	sho7tw	偷練過吧	1:36:15	5775.349	2.156 
6932	Bo Xie	终于打到了	1:36:15	5775.599	2.081 
6933	シゴウ	来了来了	1:36:16	5776.017	2.193 
6934	AMX002S	全场最累，碎星的	1:36:16	5776.531	2.281 
6935	B.W Tian	你位置不好	1:36:17	5777.516	1.951 
6936	z zzz	还剩一瓶药	1:36:20	5780.64	1.254 
6937	tengwei fu	从天而降的如来神掌	1:36:21	5781.351	1.185 
6938	王诩	不行	1:36:21	5781.654	1.173 
6939	34+35 hottie	不错不错	1:36:21	5781.879	1.204 
6940	赵迪奥	巨款	1:36:22	5782.884	1.106 
6941	Kit Kwok	快開NPC	1:36:23	5783.575	1.216 
6942	Peter Pan	发儿出来看太阳咯	1:36:25	5785.348	1.026 
6943	Paul Wu	不会一次过吧	1:36:27	5787.906	0.841 
6944	seaL Lee	台主好強要一次過了	1:36:28	5788.941	0.806 
6945	绵绵	摇人 跑就行	1:36:33	5793.801	0.614 
6946	csnlm	P2	1:36:35	5795.13	0.690 
6947	Bo Xie	快跑	1:36:40	5800.098	0.533 
6948	WildFather	哟哟哟	1:36:40	5800.717	0.525 
6949	Peter Pan	笑死	1:36:41	5801.768	0.503 
6950	Kit Kwok	有機會一次過哦	1:36:47	5807.909	0.400 
6951	csnlm	台主是不是偷看攻略了	1:36:48	5808.264	0.405 
6952	赵迪奥	好滚	1:36:48	5808.685	0.429 
6953	星云	别硬吃这个	1:36:50	5810.35	0.446 
6954	龙骑士の喵	西内	1:36:51	5811.454	0.444 
6955	AMX002S	你不是说第一次见碎星么233	1:36:51	5811.848	0.554 
6956	lo achi	为什么钱会在里面	1:36:52	5812.08	0.590 
6957	Clock Chen	发姐真是太努力了	1:36:53	5813.576	0.742 
6958	王诩	真的追不上吗	1:36:54	5814.739	0.713 
6959	旅行-带着王总去旅行00	哈哈哈哈	1:36:54	5814.908	0.761 
6960	MshaRp	哈哈	1:36:55	5815.49	1.319 
6961	Bo Xie	上去干他	1:36:55	5815.566	1.369 
6962	龙骑士の喵	hhhhhhhhhhh	1:36:58	5818.263	1.044 
6963	Mong-Yun Chen	這吃攻擊的躲法，太帥了	1:37:0	5820.487	0.986 
6964	du kevin	是的	1:37:1	5821.347	1.011 
6965	AMX002S	还行	1:37:1	5821.727	1.012 
6966	B.W Tian	取回失去的卢恩	1:37:4	5824.463	0.808 
6967	纳兰墨	哈哈	1:37:4	5824.828	0.889 
6968	孤独时代的加加加林	别跑啊	1:37:8	5828.052	0.751 
6969	Tofu Guy	別OB了 快上去砍啊	1:37:8	5828.498	0.736 
6970	lo achi	为什么你第一次见钱就在里面了	1:37:8	5828.582	0.764 
6971	Mong-Yun Chen	站在硬吃	1:37:9	5829.136	0.737 
6972	陶伟	赶紧莽	1:37:10	5830.407	0.823 
6973	Мин Гао	这样打太简单了	1:37:10	5830.541	0.995 
6974	Chad S	有帮手真好，不用自己挨打	1:37:10	5830.617	1.079 
6975	磐石	难道……	1:37:11	5831.919	0.981 
6976	龙骑士の喵	坏了 不会要过吧	1:37:13	5833.269	1.136 
6977	Majordome	加油加油~	1:37:13	5833.313	1.179 
6978	serxixr	冲啊 台主	1:37:13	5833.89	1.713 
6979	星云	发姐啥时候拿的灵药 偷偷玩了吗	1:37:15	5835.321	1.466 
6980	萌发	哈哈哈哈哈哈	1:37:18	5838.81	0.978 
6981	纳兰墨	你不是第一次见	1:37:19	5839.209	0.993 
6982	孤独时代的加加加林	刚他	1:37:19	5839.387	1.114 
6983	Clock Chen	有戏	1:37:19	5839.665	1.096 
6984	磐石	哈哈哈哈哈哈哈哈哈哈哈哈	1:37:21	5841.746	0.899 
6985	龙骑士の喵	拿下	1:37:22	5842.078	0.984 
6986	Bo Xie	无限招小弟	1:37:22	5842.651	1.066 
6987	一发老公	哈哈哈哈哈哈哈哈哈哈哈哈哈哈	1:37:22	5842.972	1.035 
6988	瀧角散	哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈	1:37:23	5843.58	1.032 
6989	领养小乌龟的阿普	良	1:37:23	5843.859	1.171 
6990	孤独时代lx	。	1:37:24	5844.162	1.868 
6991	Alvin Xu	好强	1:37:25	5845.054	1.711 
6992	WildFather	淦你	1:37:26	5846.278	1.451 
6993	Clock Chen	上去干碎	1:37:26	5846.803	1.401 
6994	波卡喵	88	1:37:26	5846.804	1.977 
6995	Frank Lin	哈哈哈哈	1:37:26	5846.859	2.092 
6996	MshaRp	可惜了	1:37:26	5846.969	2.316 
6997	徐智源	哈哈哈哈哈哈哈哈哈	1:37:27	5847.382	2.268 
6998	giantdot	……	1:37:27	5847.725	2.413 
6999	Peter Pan	哈哈哈哈	1:37:28	5848.058	2.382 
7000	du kevin	哈哈哈哈哈哈哈哈哈	1:37:28	5848.385	2.368 
7001	Y	hhh	1:37:28	5848.524	2.882 
7002	bill lu	我还以为要过了	1:37:28	5848.665	4.189 
7003	孤独时代的痞痞	干	1:37:28	5848.914	4.737 
7004	magictom C	哈哈哈哈哈哈哈哈哈哈哈	1:37:29	5849.131	4.297 
7005	Neko Coneco	f	1:37:29	5849.186	4.297 
7006	磐石	甘霖凉	1:37:30	5850.033	3.264 
7007	纳兰墨	哈哈哈哈哈	1:37:30	5850.145	3.619 
7008	Majordome	下次更好	1:37:30	5850.197	4.045 
7009	空谷幽兰	可惜	1:37:30	5850.315	4.431 
7010	绵绵	台主初见就打的这么好，天赋太高了	1:37:30	5850.334	5.131 
7011	奏者	哈哈哈哈哈哈哈哈哈	1:37:30	5850.775	4.442 
7012	倪楷哲	哈哈哈哈哈	1:37:30	5850.858	4.560 
7013	蓝天秤	哈哈哈	1:37:32	5852.086	3.153 
7014	王诩	没药了	1:37:32	5852.314	3.142 
7015	划水的西瓜君	果然，她没让我们失望	1:37:32	5852.829	2.745 
7016	the dk	哈哈哈哈哈哈哈哈哈哈h	1:37:32	5852.857	3.541 
7017	孤独时代的七草	凉	1:37:33	5853.407	3.066 
7018	seaL Lee	淦	1:37:33	5853.407	3.115 
7019	Bobby Chen	大爺	1:37:33	5853.748	2.913 
7020	bill lu	害	1:37:33	5853.804	2.882 
7021	在下陈一番	哈哈哈哈哈哈哈	1:37:34	5854.024	3.078 
7022	Kobe Bryant	淦你什么	1:37:34	5854.03	3.153 
7023	泡泡是个工具人	哈哈哈哈哈哈	1:37:34	5854.27	4.579 
7024	Shentao Zhou	You Died	1:37:34	5854.637	4.305 
7025	咒禁存思	哈哈哈哈哈	1:37:35	5855.03	4.543 
7026	领养小乌龟的阿普	进步太多了台主！加油	1:37:35	5855.282	4.124 
7027	李興達	?????	1:37:35	5855.32	5.227 
7028	Kent Lu	哀 幹誰?	1:37:35	5855.927	3.968 
7029	白鸟	秒了。。。	1:37:35	5855.982	4.476 
7030	sho7tw	哈哈哈哈哈舒服了	1:37:36	5856.282	4.036 
7031	Wang Pan	不错的	1:37:36	5856.336	4.325 
7032	lousuan	哈哈哈哈哈哈哈	1:37:36	5856.722	3.715 
7033	一个白日梦懒狗	台主的操作真是太绝绝子乐！	1:37:36	5856.89	3.817 
7034	王显文	你说的啥。哈哈哈	1:37:36	5856.916	4.388 
7035	AMX002S	一下就没了	1:37:37	5857.521	4.014 
7036	Bo Xie	这怪好狠啊，秒杀	1:37:37	5857.604	4.307 
7037	Paul Wu	大块头加油啊	1:37:38	5858.501	3.144 
7038	Clock Chen	没事了	1:37:38	5858.501	3.885 
7039	dan song	陨石大法好	1:37:38	5858.557	3.883 
7040	赵迪奥	屎炸	1:37:38	5858.612	4.292 
7041	星云	重力球很疼的哈哈哈	1:37:38	5858.752	4.139 
7042	Richard Yeung	哈哈哈	1:37:39	5859.316	3.855 
7043	Frank Lin	甘霖量	1:37:40	5860.467	2.796 
7044	AugetyBz	哈哈哈哈哈哈	1:37:40	5860.522	2.773 
7045	Alvin Xu	台主一定偷偷加练了	1:37:40	5860.577	3.272 
7046	咒禁存思	你就别去添乱了	1:37:40	5860.801	3.128 
7047	du kevin	发发你可以双持啊	1:37:41	5861.383	3.470 
7048	孤独星巴克	长牙，灵药，祷告，私下没少偷练啊	1:37:41	5861.467	3.372 
7049	绵绵	哈哈哈哈哈、	1:37:41	5861.637	3.247 
7050	超总i	哈哈哈	1:37:42	5862.702	2.445 
7051	一个白日梦懒狗	哈哈哈哈哈哈	1:37:42	5862.892	2.415 
7052	在下陈一番	这次打的可以	1:37:44	5864.108	2.087 
7053	the dk	玩阴的是吧	1:37:44	5864.973	2.219 
7054	施pplvmax	aaaaaaa	1:37:46	5866.026	1.817 
7055	绵绵	、差点一次过了	1:37:46	5866.918	1.577 
7056	viewtifuldai	老寒腿可破！	1:37:47	5867.137	1.578 
7057	doris__ Ary	啥时候来的这，好久没看到了	1:37:48	5868.321	1.441 
7058	bill lu	嗨，我还以为初见就过了	1:37:49	5869.527	1.241 
7059	龙骑士の喵	药王 死于没药了	1:37:50	5870.666	1.108 
7060	shuolin he	打了好久，好像很厉害	1:37:51	5871.08	1.194 
7061	Jimmy Mi	跟我玩阴的是吧	1:37:51	5871.68	1.138 
7062	Ronaldo Mo	碎星很脆	1:37:54	5874.671	0.947 
7063	Baron 67373	主要是没药了	1:37:55	5875.414	0.958 
7064	Albert Knight	time to die	1:37:56	5876.637	0.942 
7065	シゴウ	R1和R2总摁错	1:37:56	5876.947	0.997 
7066	绵绵	为什么不拿两把刀？	1:37:58	5878.106	0.912 
7067	Bo Xie	可以的，打的有进步	1:38:0	5880.338	0.832 
7068	Alvin Xu	上来就这么强	1:38:0	5880.628	0.901 
7069	z zzz	这游戏有召唤师职业的吗	1:38:1	5881.124	0.956 
7070	Mong-Yun Chen	好幾發閃早了，躲好點，應該過了	1:38:1	5881.482	0.961 
7071	十亿闪电法王	第一次就打折这么好，天赋啊台主	1:38:1	5881.563	1.012 
7072	Moca_H	干你* 使诈是吧	1:38:2	5882.63	1.256 
7073	赵迪奥	是是是	1:38:3	5883.423	1.249 
7074	我先跑路了	LSS你不会给她的长牙上个老寒腿吗	1:38:3	5883.699	1.416 
7075	绵绵	太刀可以拿两把啊	1:38:3	5883.808	1.458 
7076	Clock Chen	凑和打	1:38:3	5883.809	1.753 
7077	sho7tw	剩3成血.不錯了	1:38:3	5883.919	2.793 
7078	k M	第二回 张翼德怒鞭督邮 何国舅谋诛宦竖	1:38:5	5885.364	2.111 
7079	寻欢	桀桀怪笑	1:38:5	5885.392	2.343 
7080	龙骑士の喵	是是是	1:38:7	5887.196	1.750 
7081	34+35 hottie	可以可以 比想象中好多了	1:38:7	5887.643	1.645 
7082	csnlm	台主肯定偷偷玩了	1:38:8	5888.565	1.685 
7083	划水的西瓜君	是是是	1:38:9	5889.273	1.709 
7084	愛電玩	可愛我喜歡	1:38:9	5889.437	1.743 
7085	领养小乌龟的阿普	第一次打这样很厉害了	1:38:9	5889.954	1.627 
7086	DreamDragon Feng	第一次就是最好的一次	1:38:10	5890.036	1.606 
7087	Kit Kwok	感覺5死可過	1:38:10	5890.642	1.487 
7088	Kent Lu	這角色跟法師一樣 一直招喚就好了	1:38:10	5890.672	1.884 
7089	自动登记	碎星加油	1:38:10	5890.783	1.855 
7090	陶伟	二阶段看到有吸住仇恨，就莽一波	1:38:11	5891.672	2.234 
7091	Jay Silence	第一次为什么会有尸体？	1:38:12	5892.115	2.236 
7092	lo achi	碎星偷了你的钱吗，第一次打钱就在里面了	1:38:12	5892.223	2.734 
7093	星云	发姐偷偷玩了多少啊	1:38:12	5892.899	2.758 
7094	AMX002S	无所谓，反正五次过	1:38:14	5894.213	2.094 
7095	龙骑士の喵	第一次 能打这么好 已经很棒啦	1:38:15	5895.72	1.734 
7096	Alvin Xu	前面各种铺垫	1:38:16	5896.161	1.633 
7097	李興達	跟我玩陰的是吧，直接來吧	1:38:17	5897.321	1.497 
7098	the dk	今天最多五次就能过	1:38:20	5900.452	1.022 
7099	斌 李	哪来的遗产	1:38:21	5901.384	0.943 
7100	绵绵	左手为啥不装武器	1:38:22	5902.073	0.961 
7101	kq ch	“第一次打”	1:38:22	5902.759	0.939 
7102	bill lu	66	1:38:24	5904.196	0.835 
7103	领养小乌龟的阿普	给npc干嘛不招	1:38:25	5905.729	0.779 
7104	B.W Tian	取回已失去的卢恩	1:38:27	5907.843	0.734 
7105	一个白日梦懒狗	《重新定义第一次》	1:38:29	5909.445	0.729 
7106	磐石	软妹为啥要硬核	1:38:31	5911.014	0.673 
7107	领养小乌龟的阿普	不招白不招	1:38:31	5911.398	0.710 
7108	Bo Xie	发发是没有游戏天赋的	1:38:31	5911.473	0.907 
7109	Jason Key	第一次还能捡钱?	1:38:31	5911.55	0.984 
7110	Y Brian	设计了就是让你招的	1:38:32	5912.822	0.930 
7111	Peter Pan	温和玩家陈一发，哈哈	1:38:34	5914.331	0.864 
7112	scott nitz	？？？？	1:38:39	5919.618	0.648 
7113	Bo Xie	操作很菜	1:38:40	5920.309	0.686 
7114	划水的西瓜君	哈哈哈哈哈哈哈	1:38:42	5922.727	0.672 
7115	龙骑士の喵	好接	1:38:43	5923.949	0.689 
7116	Frank Lin	哈哈哈哈	1:38:45	5925.424	0.694 
7117	Paul Wu	我好了	1:38:45	5925.452	0.712 
7118	旅行-带着王总去旅行00	哈哈哈哈	1:38:45	5925.756	0.700 
7119	anxiolve l	我的天，还在打，这是一晚上没过啊	1:38:46	5926.742	0.658 
7120	绵绵	？？？	1:38:49	5929.144	0.613 
7121	杜淳	我好了	1:38:50	5930.211	0.630 
7122	Clock Chen	贪了	1:38:52	5932.841	0.756 
7123	星云	硬核接箭！	1:38:53	5933.442	0.761 
7124	旅行-带着王总去旅行00	完美吃伤	1:38:54	5934.622	0.841 
7125	Kobe Bryant	要被戳死了	1:38:57	5937.103	0.760 
7126	莱兹	硬不起来的打法	1:38:59	5939.969	0.688 
7127	xiaoyuan ryder	血瓶不够多的感觉	1:39:3	5943.229	0.563 
7128	NeVeR	哇 最近法环还真火	1:39:14	5954.638	0.346 
7129	xion	发姐！我会翻墙了！	1:39:14	5954.887	0.355 
7130	波卡喵	?	1:39:15	5955.492	0.380 
7131	星云	请问主播是召唤师吗？	1:39:18	5958.046	0.359 
7132	Finn Kuang	不招 npc？干脆不要剑和马，赤手空拳打呗？	1:39:18	5958.229	0.394 
7133	Kent Lu	這比法師還輕鬆阿 招換完OB就好了	1:39:21	5961.394	0.358 
7134	Y Brian	没有，今晚刚开始打	1:39:21	5961.944	0.366 
7135	Paul Wu	队友死光了	1:39:24	5964.434	0.366 
7136	肖万宝	纳命来！	1:39:27	5967.476	0.364 
7137	瀧角散	？	1:39:28	5968.881	0.390 
7138	瀧角散	？？？	1:39:30	5970.767	0.620 
7139	MshaRp	你打空气呢	1:39:30	5970.796	0.629 
7140	Kobe Bryant	准备寿司吧	1:39:30	5970.835	0.652 
7141	萌发	打空气	1:39:30	5970.935	0.776 
7142	波卡喵	0	1:39:32	5972.209	0.715 
7143	翠 翠	你在干嘛	1:39:32	5972.902	0.869 
7144	瀧角散	？？？？？？？？？？？？？？？	1:39:32	5972.983	0.906 
7145	划水的西瓜君	你打了个寂寞	1:39:35	5975.1	0.938 
7146	龙骑士の喵	对着空气猛砍	1:39:36	5976.694	1.085 
7147	lo achi	你干脆拿把强弓疯狂射击好了	1:39:36	5976.748	1.271 
7148	自动登记	空砍13刀	1:39:38	5978.401	1.310 
7149	绅士风	为何在舞剑	1:39:39	5979.264	1.181 
7150	瀧角散	三刀全空	1:39:39	5979.539	1.149 
7151	osas wuwa	马战打碎星不是很好打吗	1:39:39	5979.656	1.147 
7152	xiaogui Ghost	空气刀？	1:39:41	5981.022	1.135 
7153	magictom C	一刀沒中	1:39:41	5981.571	1.154 
7154	领养小乌龟的阿普	跟着他屁股砍 别紧张	1:39:41	5981.877	1.124 
7155	天堂	真空斬	1:39:42	5982.042	1.441 
7156	Bo Xie	被划了一道	1:39:43	5983.042	1.575 
7157	xiaoyuan ryder	这什么神仙boss啊	1:39:43	5983.935	1.391 
7158	余弦	全靠NPC打	1:39:44	5984.457	1.651 
7159	FRANK X	50米大长刀已经急不可耐	1:39:45	5985.077	1.720 
7160	波卡喵	忙完沒	1:39:45	5985.289	1.739 
7161	天堂	厲害	1:39:46	5986.113	1.549 
7162	龙骑士の喵	ohhhhhhhhhhhh 砍到了	1:39:48	5988.294	1.375 
7163	Chad S	隔这么远想干啥，魔法攻击吗	1:39:49	5989.684	1.233 
7164	小夜ぃ	不用紧张很快就会死了	1:39:49	5989.943	1.240 
7165	李興達	揮了個寂寞	1:39:51	5991.265	1.084 
7166	lo achi	要蓝屏了	1:39:52	5992.656	1.040 
7167	sho7tw	正常.這有時會	1:39:58	5998.214	0.700 
7168	蟑螂	设备准备开始背锅	1:39:59	5999.139	0.681 
7169	施pplvmax	哈哈哈哈哈哈哈	1:39:59	5999.498	0.693 
7170	Paul Wu	碎星的马是真可怜	1:39:59	5999.83	0.688 
7171	Issac Chen	去拿月影吧	1:40:1	6001.943	0.632 
7172	星云	卡	1:40:3	6003.07	0.677 
7173	Navrn	砍显卡上了	1:40:6	6006.082	0.610 
7174	Doctor Medical	你用什么手柄？	1:40:6	6006.468	0.605 
7175	Alvin Xu	感觉出道即巅峰	1:40:6	6006.468	0.658 
7176	Bo Xie	哈哈	1:40:7	6007.719	0.664 
7177	34+35 hottie	团战里摸鱼的	1:40:8	6008.101	1.011 
7178	无一敌儿	空气斩	1:40:8	6008.835	1.031 
7179	白鸟	双持啊	1:40:12	6012.999	0.741 
7180	HAO SUN	一堆人吐槽可怜的菜鸟	1:40:13	6013.851	0.713 
7181	Albert Knight	隔老远屁股都摸不到	1:40:14	6014.619	0.789 
7182	Alvin Xu	第一次也是最好的一次	1:40:14	6014.865	0.848 
7183	孤独时代的加加加林	快跑	1:40:15	6015.084	1.111 
7184	孤独时代的加加加林	 召唤	1:40:21	6021.769	0.654 
7185	龙骑士の喵	红红火火恍恍惚惚或	1:40:23	6023.916	0.573 
7186	Gavin Ning	发姐伤害太高了	1:40:25	6025.082	0.576 
7187	Paul Wu	伤害真高啊	1:40:26	6026.106	0.555 
7188	lo achi	哈哈哈	1:40:27	6027.109	0.547 
7189	magictom C	剛好	1:40:28	6028.354	0.651 
7190	徐智源	加油	1:40:28	6028.635	0.676 
7191	领养小乌龟的阿普	这把不算	1:40:28	6028.86	0.702 
7192	HR Bear	可以双持的	1:40:30	6030.074	0.658 
7193	划水的西瓜君	舒服了	1:40:30	6030.322	0.656 
7194	MshaRp	帅噢，指碎星	1:40:30	6030.565	1.137 
7195	Gavin Ning	10刀打死	1:40:30	6030.661	1.483 
7196	osas wuwa	骑马打啊	1:40:31	6031.166	1.644 
7197	FRANK X	这个时候要跳	1:40:32	6032.691	1.519 
7198	Navrn	奥	1:40:34	6034.284	1.394 
7199	龙骑士の喵	没想到 出道即巅峰	1:40:36	6036.046	1.300 
7200	星云	我有个疑惑，发姐 你为啥不双持	1:40:36	6036.242	1.315 
7201	智慧城邦	先去拿老寒腿吧	1:40:36	6036.578	1.296 
7202	小夜ぃ	OMGALUL	1:40:36	6036.856	1.474 
7203	Kent Lu	沒事 正常發揮	1:40:38	6038.101	1.286 
7204	旅行-带着王总去旅行00	没事没死 第一次打是这样的	1:40:38	6038.567	1.250 
7205	MshaRp	双持吧	1:40:41	6041.019	0.965 
7206	孤独时代的小瓜皮	完全在乱打	1:40:41	6041.618	0.957 
7207	自动登记	我与空气斗争的一生	1:40:41	6041.923	1.083 
7208	孤独星巴克	不错啦，毕竟是《第一次》打的玩家	1:40:42	6042.724	1.185 
7209	Bo Xie	被按到地上无限抹茶	1:40:43	6043.061	1.426 
7210	孤独时代的加加加林	？？？	1:40:43	6043.134	1.451 
7211	绵绵	为啥左手不拿武器？？？	1:40:44	6044.133	1.324 
7212	D Danny	这把不算不算	1:40:44	6044.743	1.268 
7213	瀧角散	对，没对	1:40:44	6044.855	1.481 
7214	Mauser	双刀	1:40:45	6045.075	1.537 
7215	明日花绮罗	根本没走位啊	1:40:47	6047.311	1.589 
7216	超总i	我就说	1:40:47	6047.464	1.711 
7217	AMX002S	没事，最终五次过	1:40:47	6047.96	1.656 
